iter	Passed	Remaining
0	0	96
1	1	94
2	2	86
3	3	83
4	4	80
5	5	79
6	5	76
7	6	74
8	7	72
9	7	71
10	8	69
11	9	68
12	9	66
13	10	65
14	11	64
15	12	63
16	12	62
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	49
30	22	49
31	22	48
32	23	47
33	23	46
34	24	45
35	25	45
36	26	44
37	27	44
38	27	43
39	28	42
40	29	41
41	29	41
42	30	40
43	31	39
44	31	38
45	32	38
46	33	37
47	33	36
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	39	32
55	40	31
56	40	30
57	41	29
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	53	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	12
83	59	11
84	60	10
85	60	9
86	61	9
87	62	8
88	63	7
89	63	7
90	64	6
91	65	5
92	65	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	71	0
